timestamp,amount_usd,quantity_purchased,session_duration_seconds,days_since_last_purchase,account_age_days,device_screen_resolution,time_since_last_login_s,items_viewed_before_purchase,big_model_fraud_probability,flagged_fraud
1726079771,42.07,5,422.6,1.61,830,8297586,1591.0,9,0.399304,0
1712136533,35.05,6,384.7,23.44,2993,3682826,4097.6,10,0.026173,0
1703558249,1.43,8,519.5,34.07,2354,1034996,2534.0,5,0.080938,0
1704576488,100.0,4,51.1,0.57,85,8297645,2458.9,23,0.926975,1
1728790505,51.51,1,278.0,5.31,1989,1044536,2774.4,12,0.281695,0
1724666352,271.32,4,404.2,0.52,71,3677577,862.1,10,0.881451,1
1728755399,474.69,11,105.7,1.8,40,2065000,4185.3,12,0.999576,1
1719839248,153.48,7,216.9,5.55,3505,3685875,2764.1,1,0.477014,0
1724872940,20.99,5,358.9,30.14,1367,1027945,1287.4,1,0.14223,0
1721332673,25.39,8,262.4,10.64,3463,8291765,3730.2,9,0.247161,0
1710304687,135.11,2,235.7,16.52,2714,2079200,2379.6,9,0.242436,0
1715141368,2.07,2,294.1,15.5,3220,1044332,1940.9,13,0.014805,0
1725683296,71.45,2,291.0,2.42,118,3684481,3290.1,11,0.456206,0
1731019568,115.33,6,355.5,18.62,1916,1036849,2553.0,12,0.408376,0
1718628918,34.91,6,366.5,32.23,1590,3683785,4737.6,13,0.049082,0
1715705508,246.59,9,349.5,19.77,650,2071608,5048.4,13,0.781321,0
1729621999,89.31,7,309.0,21.56,3552,1030141,1137.5,13,0.092013,0
1706212239,4.86,3,253.1,5.65,3195,3684718,12121.8,13,0.044971,0
1713645753,111.09,8,306.5,15.95,2617,1049969,2170.8,6,0.432669,0
1729729316,149.49,9,294.8,14.87,3624,1049252,39.6,12,0.328537,0
1701144490,127.28,8,325.0,7.28,1092,8294009,3448.5,14,0.630793,0
1708153341,299.0,7,19.2,1.23,2,2071757,3841.0,13,0.990704,1
1723174005,62.58,6,343.9,14.78,801,1042858,3141.4,2,0.683683,0
1731110264,53.12,9,431.9,35.14,51,1045753,4856.3,8,0.609273,0
1701548176,74.29,1,264.8,22.78,819,1048124,4262.9,1,0.159633,0
